Year,GDP_Raw,Inflation,Interest_Rate,FDI_pct_GDP,Investment_pct_GDP,Export_pct_GDP,Unemployment_Rate,Gov_Spending_pct_GDP,GDP_Growth
2012-04-01,103.617,3.503,4.825,4.059,27.576,77.829,2.661,20.779,2.5
2012-07-01,106.144,3.457,4.463,4.713,27.255,79.363,2.554,20.267,2.439
2012-10-01,108.671,3.41,4.101,5.367,26.934,80.897,2.447,19.756,2.381
2013-01-01,111.198,3.364,3.739,6.021,26.612,82.431,2.34,19.245,2.326
2013-04-01,113.978,3.294,4.524,5.811,28.533,81.204,2.497,18.2,2.5
2013-07-01,116.758,3.223,5.309,5.601,30.455,79.977,2.654,17.155,2.439
2013-10-01,119.538,3.153,6.094,5.391,32.376,78.749,2.811,16.11,2.381
2014-01-01,122.318,3.082,6.878,5.182,34.297,77.522,2.968,15.064,2.326
2014-04-01,125.376,3.243,6.684,4.926,33.993,77.422,2.791,15.226,2.5
2014-07-01,128.434,3.403,6.489,4.67,33.689,77.321,2.615,15.387,2.439
2014-10-01,131.492,3.563,6.295,4.414,33.385,77.221,2.438,15.549,2.381
2015-01-01,134.55,3.724,6.101,4.158,33.081,77.121,2.262,15.71,2.326
2015-04-01,137.914,3.488,6.265,3.924,32.644,75.571,2.455,16.694,2.5
2015-07-01,141.277,3.251,6.429,3.69,32.208,74.022,2.649,17.677,2.439
2015-10-01,144.641,3.015,6.594,3.456,31.771,72.472,2.843,18.661,2.381
2016-01-01,148.005,2.779,6.758,3.222,31.334,70.922,3.036,19.645,2.326
2016-04-01,151.705,2.855,6.713,3.439,31.929,74.501,2.922,18.492,2.5
2016-07-01,155.405,2.932,6.669,3.655,32.524,78.081,2.808,17.34,2.439
2016-10-01,159.105,3.008,6.624,3.872,33.119,81.66,2.694,16.188,2.381
2017-01-01,162.805,3.084,6.579,4.088,33.715,85.239,2.58,15.035,2.326
2017-04-01,166.876,3.121,6.282,4.101,33.545,84.571,2.786,15.308,2.5
2017-07-01,170.946,3.159,5.985,4.113,33.376,83.903,2.993,15.581,2.439
2017-10-01,175.016,3.196,5.689,4.126,33.206,83.235,3.199,15.853,2.381
2018-01-01,179.086,3.233,5.392,4.138,33.037,82.567,3.405,16.126,2.326
2018-04-01,183.563,3.278,5.716,4.492,31.494,79.747,3.105,16.805,2.5
2018-07-01,188.04,3.322,6.04,4.846,29.951,76.927,2.806,17.483,2.439
2018-10-01,192.518,3.367,6.364,5.2,28.408,74.107,2.506,18.162,2.381
2019-01-01,196.995,3.412,6.687,5.554,26.866,71.287,2.206,18.841,2.326
2019-04-01,201.92,3.577,5.854,5.473,28.631,72.707,2.283,19.092,2.5
2019-07-01,206.844,3.741,5.021,5.393,30.396,74.127,2.359,19.342,2.439
2019-10-01,211.769,3.906,4.187,5.312,32.161,75.546,2.435,19.593,2.381
2020-01-01,216.694,4.07,3.354,5.231,33.926,76.966,2.512,19.843,2.326
2020-04-01,222.111,3.778,3.461,5.45,33.043,80.901,2.426,19.773,2.5
2020-07-01,227.529,3.485,3.569,5.668,32.16,84.836,2.341,19.703,2.439
2020-10-01,232.946,3.192,3.676,5.887,31.276,88.772,2.256,19.634,2.381
2021-01-01,238.364,2.899,3.784,6.105,30.393,92.707,2.17,19.564,2.326
2021-04-01,244.323,3.057,3.633,5.742,31.064,88.527,2.474,18.815,2.5
2021-07-01,250.282,3.214,3.482,5.379,31.734,84.348,2.779,18.067,2.439
2021-10-01,256.241,3.371,3.332,5.016,32.404,80.168,3.083,17.318,2.381
2022-01-01,262.2,3.528,3.181,4.653,33.074,75.989,3.387,16.57,2.326
2022-04-01,268.755,3.568,3.461,4.344,33.296,75.397,3.369,17.424,2.5
2022-07-01,275.31,3.607,3.741,4.036,33.518,74.806,3.352,18.278,2.439
2022-10-01,281.865,3.646,4.021,3.727,33.739,74.214,3.334,19.131,2.381
2023-01-01,288.42,3.685,4.301,3.419,33.961,73.622,3.316,19.985,2.326
2023-04-01,295.63,3.412,4.365,3.938,32.516,75.776,3.084,19.154,2.5
2023-07-01,302.841,3.139,4.428,4.457,31.07,77.929,2.851,18.323,2.439
2023-10-01,310.051,2.866,4.491,4.977,29.625,80.083,2.619,17.492,2.381
2024-01-01,317.262,2.593,4.555,5.496,28.18,82.236,2.387,16.661,2.326
2024-04-01,325.193,2.873,4.437,5.538,27.66,85.338,2.538,16.815,2.5
2024-07-01,333.125,3.154,4.32,5.58,27.14,88.439,2.688,16.969,2.439
2024-10-01,341.056,3.435,4.203,5.621,26.62,91.54,2.839,17.124,2.381
2025-01-01,348.988,3.715,4.085,5.663,26.101,94.641,2.99,17.278,2.326
